temperature,humidity,sensation,comfort,skin,clothing
-0.390189521,1.867380177,0,0,-0.441744892,0.304414003
0.362318841,1.243834342,0,0,,
0.668896321,1.094927873,0,0,0.165654335,0.837138508
0.975473802,0.871568171,1,-1,,
1.170568562,0.722661703,1,-1,,
1.337792642,0.815728246,1,-1,0.71783545,1.369863014
1.505016722,0.573755235,1,-1,,
1.588628763,0.517915309,2,-2,1.159580342,1.712328767
1.727982163,0.359702187,2,-2,1.214798454,1.902587519
1.449275362,0.573755235,2,-2,,
1.254180602,0.657515123,2,-2,0.938707896,1.522070015
1.086956522,0.769194974,2,-2,,
1.003344482,0.815728246,2,-2,1.490889012,1.445966514
0.975473802,0.89018148,1,-1,,
0.863991081,0.862261517,1,-1,0.883489785,0.875190259
0.641025641,1.001861331,0,0,,
0.362318841,1.150767799,0,0,0.883489785,0.608828006
0.25083612,1.19730107,0,1,,
0.08361204,1.318287576,0,1,0.71783545,0.456621005
0.02787068,1.336900884,0,1,,
-0.11148272,1.178687762,0,1,0,-0.684931507
-0.808249721,1.020474639,0,1,,
-0.891861761,1.429967427,0,0,0,-0.570776256
-0.724637681,1.644020475,0,0,,
-0.808249721,1.374127501,-1,-1,,
-1.309921962,1.067007911,-1,-1,,
-1.560758082,0.843648208,-2,-2,-1.325234677,-1.902587519
-1.505016722,1.150767799,-2,-2,,
-1.505016722,0.983248022,-2,-2,-1.490889012,-1.598173516
-1.282051282,2.667752443,0,1,,
-1.254180602,2.667752443,0,1,,
-1.254180602,2.63983248,0,1,-0.883489785,-0.95129376
-1.198439242,2.5746859,0,1,,
-1.170568562,2.611912517,0,1,-0.883489785,-0.913242009
-0.891861761,2.276872964,0,0,,
-0.501672241,1.858073523,0,0,-0.496963004,-0.114155251
-0.25083612,1.727780363,0,0,,
-0.08361204,1.485807352,0,0,-0.110436223,0
0,1.402047464,0,0,,
0.11148272,1.32759423,0,0,0.276090558,0.570776256
0.2787068,1.243834342,1,-1,,
0.557413601,1.076314565,1,-1,0.883489785,0.913242009
0.641025641,1.011167985,1,-1,,
0.752508361,0.983248022,1,-1,0.165654335,0.837138508
1.003344482,0.806421591,1,-1,,
1.309921962,0.610981852,2,-2,1.049144119,1.674277017
1.449275362,0.489995347,2,-2,,
1.505016722,0.443462075,2,-2,0.71783545,1.522070015
1.421404682,0.573755235,2,-2,,
1.170568562,0.75988832,2,-2,0.773053562,1.255707763
1.142697882,0.685435086,1,-1,,
0.724637681,0.815728246,1,-1,1.214798454,1.02739726
0.390189521,1.067007911,0,0,,
0.22296544,1.178687762,0,0,0.110436223,0.076103501
-0.02787068,1.355514193,0,1,,
-0.724637681,1.867380177,0,1,,
-0.724637681,1.746393671,0,1,-0.276090558,-0.266362253
-0.668896321,1.737087017,0,1,,
-0.696767001,1.746393671,0,1,-0.71783545,-0.342465753
-0.529542921,1.727780363,0,1,,
-0.30657748,1.485807352,0,1,-0.055218112,0.03805175
-0.08361204,1.476500698,0,0,,
0.19509476,1.253140996,0,0,-0.055218112,0.152207002
0.390189521,1.141461145,0,0,,
0.501672241,1.020474639,0,0,,
0.668896321,0.899488134,1,-1,,
0.863991081,0.787808283,1,-1,0.662617338,1.065449011
1.003344482,0.722661703,1,-1,,
1.142697882,0.648208469,1,-1,,
1.282051282,0.583061889,1,-1,,
1.505016722,0.462075384,1,-1,0.828271673,1.788432268
1.644370123,0.38762215,1,-1,,
1.477146042,0.489995347,2,-2,1.104362231,1.560121766
1.309921962,0.676128432,2,-2,,
1.282051282,0.629595161,2,-2,0.883489785,1.369863014
1.086956522,0.666821778,2,-2,,
0.919732441,0.815728246,2,-2,0.993926008,1.141552511
0.808249721,0.843648208,2,-2,,
